0,80,0,25,0,0,20
0,60,0,25,0,0,20
0,50,0,25,0,0,20
25,50,0,25,0,0,20
0,50,0,25,0,0,20
25,50,0,25,0,0,20
0,50,0,25,0,0,20
25,50,0,25,0,0,20
25,80,0,25,0,0,20
120,80,0,25,0,0,20
120,40,0,30,0,0,20
180,40,0,30,0,0,20
120,40,0,30,0,0,20
180,40,0,30,0,0,20
180,40,20,30,0,0,20
180,80,0,25,0,0,20
0,80,0,25,0,0,20
0,60,0,25,0,0,20
0,50,0,25,0,0,20
25,50,0,25,0,0,20
0,50,0,25,0,0,20
25,50,0,25,0,0,20
0,50,0,25,0,0,20
25,50,0,25,0,0,20
25,80,0,25,0,0,20
120,80,20,20,0,0,20
120,30,20,20,0,0,20
180,30,20,20,0,0,20
120,30,20,20,0,0,20
180,30,20,20,0,0,20
180,30,20,30,0,0,20
180,80,0,25,0,0,20
0,80,0,25,0,0,20
